batch,candidates,method,reps,latency_ms,scores_per_second,ideal_energy_bytes,checksum
1,65536,temp_softmax_t2,15,18.436772267644606,3554635.217521867,524288,0.009693
8,65536,raw_argmin,1,36.98024991899729,14177513.703893756,4194304,374642.0
8,65536,rank_margin,1,20.691582933068275,25338225.774989337,4194304,4.127106
8,65536,exp_sum,1,94.93799996562302,5522425.163684133,4194304,3856331.100587
8,65536,logsumexp,1,112.47320892289281,4661447.868526906,4194304,104.684204
8,65536,softmax,1,166.3939170539379,3150884.4150237045,4194304,0.092701
8,65536,temp_softmax_t2,1,170.95791595056653,3066766.4441557704,4194304,0.005336
16,65536,raw_argmin,1,116.03133287280798,9037007.281037055,8388608,548330.0
16,65536,rank_margin,1,50.3905841615051,20808966.94190418,8388608,5.538742
16,65536,exp_sum,1,188.6758329346776,5557553.3108314555,8388608,7838360.243471
16,65536,logsumexp,1,219.32387514971197,4780947.8073658645,8388608,209.625239
16,65536,softmax,1,304.15966594591737,3447452.4974867883,8388608,0.222713
16,65536,temp_softmax_t2,1,301.5741251874715,3477009.174272361,8388608,0.01173
